scenario,label,obstacle_1_x,obstacle_1_y,obstacle_2_x,obstacle_2_y,final_x_m,max_abs_y_m,rms_lateral_error_m,rms_speed_error_mps,max_speed_mps,max_abs_steer_rad,min_obstacle_margin,accel_variation,steer_variation,mean_stage_cost,elapsed_time_s
baseline,Baseline: staggered obstacles,20.0,0.0,36.0,2.0,53.023186346557225,2.4510835715138883,0.06690053303004866,0.6911582464758369,9.36031138273568,0.31939156350447884,0.8913372340980112,11.3307909521926,2.5668648286170854,-968.8167407085677,6.6000000000000005
lower_upper,Lower then upper obstacles,17.0,-1.5,34.0,2.3,53.313647960901726,2.3693284617823616,0.07026863554613369,0.7255383752359348,9.364331683071757,0.28346069142635044,5.324895141933605,10.845120824225965,2.6404731602574367,-931.4045122597587,6.6000000000000005
middle_gate,Middle gate,20.0,-1.8,35.0,1.8,53.22107432615427,2.3135332331708685,0.1279791909964484,0.7064173131002982,9.385523515223516,0.2789408690381804,4.963356495462435,12.212664297825519,3.4175975398059086,-865.6426583440723,6.6000000000000005
late_gate,Late gate,23.0,-1.4,39.0,1.4,53.00971300374201,2.3248514205481654,0.09496887588010862,0.6808610199442813,9.343453350287168,0.30464668497628195,1.8998375194587016,12.293340403112278,3.414775703884425,-956.0691360559623,6.6000000000000005
same_lower_side,Same-side lower obstacles,20.0,-1.6,36.0,-0.4,53.29116659531088,2.253992274874092,0.08682000677482465,0.7294504457666318,9.293305180504099,0.31471118740207527,1.196056578890722,11.296407163806185,3.7497732639889616,-954.4935965198853,6.6000000000000005
