time_s,x_m,y_m,psi_rad,speed_mps,accel_mps2,steer_rad,stage_cost,predicted_terminal_x
0.0,0.0,0.0,0.0,7.5,0.7021537919837874,0.07597726340397964,81.31915466101707,30.020567483714085
0.2,1.5136155531935973,0.03115641308457907,0.04116239498056028,7.640430758396757,1.3933079867735365,-0.0453289316328709,-990.365362460458,32.900553704878654
0.4,3.0688921820849417,0.07558592193434005,0.015955965792107136,7.919092355751465,1.2597971205085456,-0.06402181820550101,-798.8654933367408,34.103305363727685
0.6000000000000001,4.677810700395025,0.07162120477333403,-0.020884391734347443,8.171051779853174,0.8144834563346687,0.050478181991883316,-917.7593714885645,35.47565628230299
0.8,6.328220079379594,0.0617281999866874,0.00889599244593101,8.333948471120108,0.32092566091125113,0.08409890473644845,-942.5672644287547,36.89526668080036
1.0,8.000279733579733,0.11873920572649292,0.059270156842017085,8.398133603302359,-0.25148896693274037,0.24448120946050778,-85.9163526818127,37.96989416829423
1.2000000000000002,9.658354809575703,0.342042919654145,0.20847167337070585,8.34783580991581,-0.762832737198767,0.16809503188543368,-985.8562752479824,39.980487273464156
1.4000000000000001,11.256987048999886,0.7649216825416475,0.30873255650742,8.195269262476057,-0.9063777410571604,0.008107565833786188,-967.8423404366652,41.85922184851057
1.6,12.800113545536817,1.2610646600698816,0.3134261474450201,8.013993714264625,-0.8351864204976723,-0.1438438992645363,-968.375780527801,43.590522744394285
1.8,14.327296809383395,1.6876764316458075,0.23137729701591464,7.846956430165091,-0.472442974778372,-0.04753268958654015,-933.6143381998471,45.42070931518251
2.0,15.850231172444342,2.025239577051296,0.20487581412332487,7.7524678352094165,0.038193698601643684,-0.31939156350447884,-965.0884277346283,47.58176050124249
2.2,17.389394367224355,2.2003216006669075,0.021653314682852587,7.760106574929745,0.5106944610174168,-0.22003080103165473,-1018.2453874946498,49.28191598271964
2.4000000000000004,18.949320914874423,2.136736795397304,-0.10313120590257246,7.862245467133229,0.8670219438124241,-0.1565733222415399,-1027.8165125657547,51.10916776622762
2.6,20.521216731086096,1.9024665922262263,-0.19276437456780057,8.035649855895713,0.923993174180836,-0.11538137993444286,-1061.6738537314752,52.82339435833834
2.8000000000000003,22.105040707908962,1.5376214476019165,-0.26005076926817183,8.22044849073188,0.7445056588912841,-0.06916138274004681,-1044.2715300044092,54.94137117365698
3.0,23.69903773843799,1.0782728576734995,-0.3010938511639139,8.369349622510136,0.5889984416161227,-0.05771116901315621,-943.0292909267032,57.725198987719175
3.2,25.299837251710027,0.55047552320895,-0.3358756263281998,8.48714931083336,0.0033958296548660897,0.017029914312101307,-964.6428501389521,59.127258444323296
3.4000000000000004,26.905342326249393,-0.000729124935668457,-0.325550256086009,8.487828476764333,-0.6638037668896031,-0.06040412713079597,-1070.1057530138619,60.65695875527379
3.6,28.491015018925808,-0.5683212022360196,-0.3619295278657829,8.355067723386412,-1.3509309166823569,-0.02193271304805732,-1086.0424276332674,62.326945122496014
3.8000000000000003,30.024713209230303,-1.1603109041723099,-0.3748091892209469,8.08488154004994,-1.2430481435560632,0.09101268171543411,-1071.7570762294135,63.994623130737146
4.0,31.520755296696134,-1.7044803695900956,-0.32291486477109477,7.836271911338727,-1.0480934525390873,0.1862038112907167,-1016.3237203885966,66.26895006124619
4.2,33.00998461470018,-2.1180750552523246,-0.21887914886023427,7.62665322083091,-0.5814764652221455,0.1908394251451114,-526.0599694963798,67.97328475937971
4.4,34.502034338010134,-2.369066637363618,-0.1144389340848878,7.510357927786481,0.20559815352621552,0.21922408164176235,-1003.8852231452557,69.61982943110674
4.6000000000000005,36.005080619158214,-2.4510835715138883,0.005412848287197861,7.551477558491724,0.8133148846532741,0.23595498799321682,-1189.2128896301017,71.72469726480038
4.800000000000001,37.526711271002775,-2.342934747460923,0.13649743857345192,7.714140535422379,1.3583782770489925,0.19574514297531934,-1196.71484454336,73.7201474015063
5.0,39.067037574245745,-2.0433637506188544,0.24767787716193182,7.985816190832177,1.4938007742948187,0.11126186310888166,-1241.7052678391863,75.41228314238404
5.2,40.63037567316557,-1.593585152472681,0.312598637117778,8.284576345691141,1.5106627184827164,0.049684349551013945,-1242.7143081731358,77.28308793262285
5.4,42.22772953556036,-1.0507681515380938,0.3425603962339596,8.586708889387685,1.2422882355762555,-0.14256360739766588,-1171.8368436084836,79.1296794753006
5.6000000000000005,43.892626151189596,-0.5395740014627791,0.25325003665100565,8.835166536502935,0.9649171085259115,-0.14433129574096215,-781.2498107446818,81.15107257673037
5.800000000000001,45.640237927566865,-0.17276602079924036,0.16052543236192282,9.028149958208118,0.7332661098101694,-0.18708008269048812,-1267.366061172826,83.0464013236335
6.0,47.450478350019004,0.007026674810020533,0.03746461971655678,9.174803180170152,0.47232224435342723,-0.040770250105066984,-1031.8283679069161,84.78371612350907
6.2,49.294297502002166,0.05134061242842482,0.010593680375332686,9.269267629040836,0.3176184382973972,-0.05542107166928661,-1261.782200596887,86.71346607767144
6.4,51.154341014242384,0.036766983303329615,-0.02626356447161324,9.332791316700316,0.13760033017682385,0.012236096134494483,-1277.7564025162044,88.50455131514525
